VLAN,Interface,VRF,Ipv6
3901,ILO,RJIL-OSS-NOC-MGMT,2405:200:1410:1444:f9::/80
3902,OAM,RJIL-5G-CORE-MGMT,2405:200:1410:1444:fa::/80
3903,SIGNALLING,RJIL-5G-CORE-SIGNALLING,2405:200:1410:1444:fb::/80
3904,EMS,RJIL-5G-CORE-MGMT,2405:200:1410:1444:fc::/80
3905,DB-CLIENT,RJIL-5G-CORE-SIGNALLING,2405:200:1410:1444:fd::/80
3906,DB-SERVER,RJIL-5G-CORE-SIGNALLING,2405:200:1410:1444:fe::/80
3907,HEARTBEAT,RJIL-5G-CORE-SIGNALLING,2405:200:1410:1444:ff::/80
3908,REPLICATION,RJIL-5G-CORE-SIGNALLING,2405:200:1410:1444:100::/80
3909,PROVISIONING,RJIL-5G-CORE-SIGNALLING,2405:200:1410:1444:101::/80
3910,INTERNAL-COMMUNICATION,RJIL-5G-CORE-SIGNALLING,2405:200:1410:1444:102::/80
3911,SIGTRAN-A,RJIL-WLS-CORE-SIGNALLING,2405:200:1410:1444:103::/80
3912,SIGTRAN-B,RJIL-WLS-CORE-SIGNALLING,2405:200:1410:1444:104::/80
3913,DIAMETER,RJIL-WLS-CORE-SIGNALLING,2405:200:1410:1444:105::/80
3914,GLOBAL,RJIL-5G-GLOBAL,2405:200:1410:1444:106::/80
3915,LCS-CLIENT,RJIL-5G-CORE-SIGNALLING,2405:200:1410:1444:107::/80
3916,LI-X1-PROVISIONING,RJIL-5G-CORE-SIGNALLING,2405:200:1410:1444:108::/80
3917,LI-X2-PROVISIONING,RJIL-5G-CORE-SIGNALLING,2405:200:1410:1444:109::/80
3918,LI-SIGNALING,RJIL-5G-CORE-SIGNALLING,2405:200:1410:1444:10a::/80
3919,N2,RJIL-GNB-SIGNALING,2405:200:1410:1444:10b::/80
3920,GTP,RJIL-WLS-CORE-SIGNALLING,2405:200:1410:1444:10c::/80
3921,PFCP,RJIL-5G-CORE-SIGNALLING,2405:200:1410:1444:10d::/80
3922,PFCP-SIGNALLING,RJIL-5G-CORE-SIGNALLING,2405:200:1410:1444:10e::/80
3923,N3-LOOPBACK,RJIL-GNB-BEARER,2405:200:1410:1444:10f::/80
3924,N3-INTERFACE,RJIL-GNB-BEARER,2405:200:1410:1444:110::/80
3925,N6-DATA,RJIL-5G-DATA-SUBSCRIBER,2405:200:1410:1444:111::/80
3926,N6-VOICE,RJIL-5G-VOICE-SUBSCRIBER ,2405:200:1410:1444:112::/80
3927,X3-DATA,RJIL-5G-CORE-SIGNALLING,2405:200:1410:1444:113::/80
3928,SMF-ASBC,RJIL-5G-VOICE-SUBSCRIBER ,2405:200:1410:1444:114::/80
3929,PCF-PROV,RJIL-WLS-CORE-SIGNALLING,2405:200:1410:1444:115::/80
3932,N9-LOOPBACK,RJIL-GNB-BEARER,2405:200:1410:1444:116::/80
3930,N9-INTERFACE,RJIL-GNB-BEARER,2405:200:1410:1444:117::/80
3949,IPDR-IPV6,RJIL-IP-MGMT,2405:200:1410:1444:118::/80
,,,
